Date,HDFCBANK,ICICIBANK,INFY,NIFTY50,NIFTYMIDCAP50,RELIANCE,TCS
2020-01-06,587.6988525390625,508.4504699707031,634.86962890625,11993.0498046875,4639.00634765625,671.7007446289062,1894.394775390625
2020-01-07,597.0047607421875,505.742431640625,625.460693359375,12052.9501953125,4674.404296875,682.0345458984375,1899.0438232421875
2020-01-08,595.4419555664062,508.6923522949219,617.1257934570312,12025.349609375,4686.603515625,676.912353515625,1941.5726318359373
2020-01-09,602.1195068359375,528.37451171875,625.1600341796875,12215.900390625,4765.849609375,692.5026245117188,1906.3614501953125
2020-01-10,607.4710693359375,522.5231323242188,634.2681884765625,12256.7998046875,4787.44873046875,692.3460083007812,1905.6728515625
2020-01-13,609.033935546875,520.9271240234375,664.6861572265625,12329.5498046875,4826.7958984375,690.5790405273438,1885.699462890625
2020-01-14,610.6914672851562,519.9600219726562,666.4907836914062,12362.2998046875,4865.34423828125,684.181884765625,1899.9476318359373
2020-01-15,608.2052001953125,518.0256958007812,659.5306396484375,12343.2998046875,4923.541015625,681.6990356445312,1917.166259765625
2020-01-16,609.8154296875,519.5247802734375,659.0579833984375,12355.5,4968.638671875,687.9841918945312,1927.410888671875
2020-01-17,605.3162841796875,514.5921020507812,659.788330078125,12352.349609375,4986.28759765625,707.2651977539062,1910.450927734375
2020-01-20,594.3053588867188,517.3002319335938,660.3040161132812,12224.5498046875,4944.59033203125,685.5015869140625,1868.4813232421875
2020-01-21,589.3089599609375,513.6248779296875,655.19140625,12169.849609375,4940.34033203125,686.1949462890625,1869.0838623046875
2020-01-22,587.6514282226562,505.6940002441406,661.8077392578125,12106.900390625,4921.39111328125,685.9489135742188,1899.9476318359373
2020-01-23,589.5457763671875,510.3848876953125,673.96630859375,12180.349609375,4994.037109375,683.0410766601562,1890.498779296875
2020-01-24,589.4036865234375,516.3330688476562,672.5914306640625,12248.25,5037.685546875,680.6702270507812,1883.9847412109373
2020-01-27,574.5567016601562,519.6215209960938,668.5958862304688,12119.0,5012.58642578125,673.9598999023438,1871.7752685546875
2020-01-28,579.2926025390625,510.8684997558594,668.5098266601562,12055.7998046875,4994.4375,658.3919067382812,1884.2869873046875
2020-01-29,585.283447265625,509.3210144042969,678.5633544921875,12129.5,5015.486328125,662.0155029296875,1859.1339111328125
2020-01-30,580.6423950195312,514.7372436523438,670.830078125,12035.7998046875,4976.48828125,645.8660278320312,1844.68115234375
2020-01-31,580.7607421875,508.4021911621094,666.7484130859375,11962.099609375,4915.44189453125,631.5059814453125,1793.9442138671875
2020-02-03,564.8955078125,498.633544921875,659.4017944335938,11707.900390625,4836.845703125,619.8077392578125,1814.1790771484373
2020-02-04,582.4182739257812,513.3831176757812,676.973876953125,11979.650390625,4906.59228515625,638.1045532226562,1818.7086181640625
2020-02-05,589.4510498046875,521.4108276367188,674.13818359375,12089.150390625,4967.18896484375,647.9909057617188,1852.1878662109373
2020-02-06,587.1542358398438,523.8287353515625,662.7958374023438,12137.9501953125,4998.13720703125,652.1513061523438,1836.48388671875
2020-02-07,588.2907104492188,518.8477783203125,667.908447265625,12098.349609375,5015.1865234375,641.3478393554688,1843.5595703125
2020-02-10,587.3910522460938,516.4298095703125,664.3854370117188,12031.5,4957.0390625,642.2201538085938,1865.4761962890625
2020-02-11,587.5331420898438,522.0394897460938,664.6861572265625,12107.900390625,4950.18994140625,649.8922119140625,1858.098388671875
2020-02-12,591.5111694335938,531.276123046875,671.1306762695312,12201.2001953125,4944.990234375,657.7433471679688,1873.0692138671875
2020-02-13,587.9119262695312,523.2484741210938,680.7545776367188,12174.650390625,4929.890625,659.4655151367188,1891.3619384765625
2020-02-14,577.4693603515625,527.8909912109375,675.770751953125,12113.4501953125,4887.29296875,665.4824829101562,1884.6749267578125
2020-02-17,576.4273681640625,523.8287353515625,678.3486328125,12045.7998046875,4847.2451171875,661.2997436523438,1901.1126708984373
2020-02-18,574.5804443359375,523.44189453125,685.3946533203125,11992.5,4822.99658203125,656.4458618164062,1911.8983154296875
2020-02-19,581.18701171875,526.9237670898438,687.800537109375,12125.900390625,4900.9423828125,672.7296142578125,1895.1593017578125
2020-02-20,576.40380859375,529.0516357421875,684.8361206054688,12080.849609375,4927.49072265625,664.7442626953125,1861.032470703125
2020-02-24,573.017578125,512.46435546875,683.8478393554688,11829.400390625,4813.546875,646.40283203125,1825.2664794921875
2020-02-25,568.4474487304688,513.5282592773438,686.0390014648438,11797.900390625,4807.64697265625,633.6310424804688,1860.4713134765625
2020-02-26,567.9501953125,506.5160827636719,672.5914306640625,11678.5,4745.1005859375,622.7155151367188,1832.3853759765625
2020-02-27,568.0448608398438,498.4401245117188,668.3810424804688,11633.2998046875,4702.65283203125,620.1431884765625,1816.7674560546875
2020-02-28,557.720703125,480.93402099609375,628.7260131835938,11201.75,4518.0625,594.3756713867188,1725.8641357421875
2020-03-02,558.6441650390625,489.4936218261719,636.760009765625,11132.75,4469.01513671875,588.7838134765625,1726.85693359375
2020-03-03,559.68603515625,497.8597717285156,641.8727416992188,11303.2998046875,4561.96044921875,600.72802734375,1756.9705810546875
2020-03-04,544.0813598632812,491.6697692871094,651.9691162109375,11251.0,4499.96337890625,599.3189697265625,1797.5255126953125
2020-03-05,545.265380859375,487.9461364746094,648.403076171875,11269.0,4507.1630859375,586.5469970703125,1833.63623046875
2020-03-06,537.474853515625,470.39166259765625,634.9556274414062,10989.4501953125,4379.9697265625,568.5858154296875,1826.2154541015625
