Date,HDFCBANK,ICICIBANK,INFY,RELIANCE,TCS
2020-03-16,0.006655996985817356,-0.008688983564395944,-0.026339346320245788,0.010353740236339212,-0.007117224342274325
2020-03-17,0.005969714665923817,-0.07014686092158193,-0.05549308667296855,0.032535784767733805,-0.012840416673000826
2020-03-18,-0.04624268543402958,-0.03465623137751966,-0.04348659421767902,0.06082965560583001,0.02490351461355109
2020-03-19,-0.0019376883965205316,-0.05203435671013058,-0.002995551995370195,0.035754465458875465,0.03780177402179752
2020-03-20,-0.06935088979493903,-0.0982136243403746,0.011427107353944595,0.06994920252706678,0.0901952141639697
2020-03-23,-0.0731856317701165,-0.1274921283834896,0.031533673677277864,0.09623325690377223,0.11493532309902595
2020-03-24,-0.10129476486904024,-0.11326088039412742,0.11905523380527852,0.13035787352613232,0.116096966226444
2020-03-25,-0.05168743145695277,-0.12272731184454688,0.0838274439148116,0.1891660806940437,0.09656688585847908
2020-03-26,-0.03692838825278631,-0.12635789798014077,0.10421693069150503,0.12715565433245246,0.09126593688737503
2020-03-27,-0.03508304057239946,-0.0994933689384086,0.11404736992776536,0.12306930644669543,0.10730636020844367
2020-03-30,-0.07672386440183962,-0.12609258029796386,0.11181729616027365,0.1427939222352121,0.11282010227947367
2020-03-31,-0.07610380782492798,-0.13772683399935307,0.09720905329011606,0.17423846701605802,0.11143189926979244
2020-04-01,-0.07567051293829163,-0.12771800864363206,0.06974756522180856,0.19238230949617818,0.07324256653860553
2020-04-03,-0.07515045715828968,-0.18399535051603225,0.0571578598008329,0.21388602060718154,0.054715692558990066
2020-04-07,-0.0576868973732297,-0.15483927441500747,0.06317205570992171,0.22415801046955086,0.06427258102653355
2020-04-08,-0.06091746810662777,-0.17026352015511315,0.052995623232534636,0.21762375632724035,0.02676579927296513
2020-04-09,-0.05912008084236274,-0.14633508638006296,0.019462078718559234,0.1905769086000035,0.031688463707360774
