Date,Close,High,Low,Open,Volume
2020-02-05,1852.1878662109375,1860.9458851420977,1815.7317223674086,1824.96436045121,2439322
2020-02-06,1836.48388671875,1876.0462300017393,1825.3959565354344,1850.8505444426883,2640065
2020-02-07,1843.5595703125,1856.0279633595387,1828.4162037930555,1845.6735535221073,2083442
2020-02-10,1865.4761962890625,1869.8337189383997,1828.4160823398563,1847.3127947735443,2383032
2020-02-11,1858.098388671875,1876.5638755778048,1853.0939267822248,1866.3819991460632,1335820
2020-02-12,1873.0692138671875,1885.365073039182,1855.1647171781426,1856.1139554838753,1620407
2020-02-13,1891.3619384765625,1895.7194604792237,1873.2849106510673,1874.9674597559865,1645948
2020-02-14,1884.6749267578125,1908.6626825312246,1873.2851192474182,1887.9538649992403,1500115
2020-02-17,1901.1126708984375,1912.9770980968278,1889.8522087706754,1895.6765639407943,1774724
2020-02-18,1911.8983154296875,1916.4283689808578,1886.2711974724034,1898.2649692768277,2486223
2020-02-19,1895.1593017578125,1924.1947116854246,1890.1114421286647,1911.8988486174796,1760463
2020-02-20,1861.032470703125,1910.7335070873578,1856.2435144488165,1902.191203998799,2317278
2020-02-24,1825.2664794921875,1880.1447149442315,1817.802550737264,1860.3419519753884,3092877
2020-02-25,1860.4713134765625,1878.1600937811284,1821.5129377043093,1825.3958406979943,2674567
2020-02-26,1832.3853759765625,1867.1587652062894,1823.1957113633828,1858.6164618327377,2686842
2020-02-27,1816.7674560546875,1829.235848850053,1800.1140717700978,1829.235848850053,2349001
2020-02-28,1725.8641357421875,1785.7039648637196,1717.1060111518734,1784.4096638502886,4298076
2020-03-02,1726.85693359375,1772.2868275112446,1713.3961150532173,1755.9355289682915,2667076
2020-03-03,1756.9705810546875,1777.5068675793063,1736.0892318298856,1742.9921711214558,2757585
2020-03-04,1797.5255126953125,1807.232771955974,1747.3066669190266,1774.05555910396,3237002
2020-03-05,1833.63623046875,1853.2232763934212,1798.2586705422545,1799.682317348081,3937056
2020-03-06,1826.2154541015625,1832.4280565264742,1787.5159821111783,1810.2955945561755,2595027
2020-03-09,1701.8765869140625,1794.6779175800705,1669.6485088557376,1790.4499513569278,4940975
2020-03-11,1685.7835693359375,1714.7759908810237,1656.704987469314,1667.9222608219707,6796449
2020-03-12,1527.1456298828125,1646.6959333021023,1517.2226561924363,1642.8992962153409,8728786
2020-03-13,1558.5975341796875,1570.4187762422782,1299.5215794726853,1456.434005911892,8029720
2020-03-16,1463.7685546875,1589.6177676632983,1446.0365841386952,1514.3325728044993,7844271
2020-03-17,1430.634033203125,1493.6233482959044,1400.563127817395,1492.7604809658662,5713248
2020-03-18,1427.5279541015625,1478.566585684495,1404.5325151102961,1446.8562063693034,7258778
2020-03-19,1422.2694091796875,1464.9457280046643,1344.3916286068034,1355.6473622071496,5135111
2020-03-20,1562.2930908203125,1624.482386749892,1414.1427732702377,1416.75028913982,8547498
2020-03-23,1451.256103515625,1521.050641086659,1406.102671210253,1408.058307748793,7003490
2020-03-24,1480.329833984375,1538.4339421618304,1419.2270197172443,1436.7843520957392,6350865
2020-03-25,1521.311767578125,1573.2012926355121,1460.2089346009172,1477.5923742985472,2765520
2020-03-26,1556.643310546875,1592.3663591097686,1497.1920398088018,1591.9751681101268,4556067
2020-03-27,1585.8043212890625,1607.9682073909376,1521.3986970130452,1581.8930472710845,4331250
2020-03-30,1545.822021484375,1655.7722524193052,1532.8279457230028,1534.957374158789,8513547
2020-03-31,1587.195068359375,1612.314161968008,1547.1262578453122,1597.0167550205695,3927593
2020-04-01,1485.1973876953125,1594.7130399847692,1479.3304777512344,1587.020890389216,4941878
2020-04-03,1437.7840576171875,1512.3590461247509,1434.1335782217463,1512.3590461247509,5735369
2020-04-07,1542.9542236328125,1552.2109274427821,1481.9383864658732,1486.284246836741,5427577
2020-04-08,1482.3292236328125,1569.7245035196363,1478.4614509894247,1529.7425947921151,6285615
2020-04-09,1535.087890625,1546.082935794269,1504.710270678281,1521.4418288619268,5307397
2020-04-13,1529.090576171875,1553.2100949945377,1517.5740491664594,1530.6116269084393,2990438
2020-04-15,1508.1439208984375,1574.9397724792038,1501.7555274784352,1551.472126862792,4761399
2020-04-16,1491.5423583984375,1534.0013809909965,1455.9063134380372,1486.2403253657312,6245533
2020-04-17,1569.8984375,1609.6630568429614,1523.6585291412298,1564.5096134935616,9895823
2020-04-20,1580.7191162109375,1590.5841936784943,1566.68197218879,1590.5841936784943,3244282
2020-04-21,1510.3165283203125,1559.8158241125827,1501.6682045125647,1534.0883578580394,5122541
2020-04-22,1537.9996337890625,1555.8176572378761,1494.2368510750416,1510.3165307727513,3829836
2020-04-23,1632.521728515625,1651.4262127936577,1530.4809507787838,1547.125609880374,5934366
2020-04-24,1580.6324462890625,1609.6627000241397,1571.2888492796994,1599.8845171073644,2987102
2020-04-27,1596.3211669921875,1629.6973907752833,1586.2387936879425,1592.5837913027303,3374741
2020-04-28,1615.8341064453125,1623.6131527187852,1592.844445414054,1621.005636948894,2678505
2020-04-29,1656.33740234375,1662.334709492323,1608.0114673858327,1628.828091321007,4241510
2020-04-30,1750.903076171875,1766.157083580823,1688.1054141203424,1720.9601503395816,5915544
2020-05-04,1677.8929443359375,1708.7920495229428,1663.2909192716863,1708.7920495229428,3729348
2020-05-05,1679.8919677734375,1718.35282384586,1674.8942294137441,1699.3179382645765,2905528
2020-05-06,1654.5556640625,1698.1011565179676,1645.863944765996,1686.0197515758982,3517431
2020-05-07,1644.1693115234375,1681.3698111943231,1636.955141147722,1660.1185972455403,3166754
2020-05-08,1645.6900634765625,1685.7588660381168,1639.4754632969311,1685.411176065115,2686530
2020-05-11,1682.1083984375,1696.102044623859,1659.2491353274238,1659.2491353274238,2449841
2020-05-12,1694.4505615234375,1700.5347646168789,1660.335565606641,1680.4569156285386,3256595
2020-05-13,1694.5809326171875,1733.1286832641551,1673.720808044299,1733.1286832641551,2656665
2020-05-14,1653.4691162109375,1671.5044328465158,1643.6909324928529,1660.1183023592519,2263146
2020-05-15,1645.2554931640625,1666.5502044867046,1621.1793681310655,1665.3333426196796,3173682
2020-05-18,1691.060791015625,1697.4491831230816,1627.1766577408926,1657.510777617891,3727694
2020-05-19,1693.7117919921875,1709.1829876756553,1654.0340747591624,1654.0340747591624,3198693
2020-05-20,1698.01416015625,1706.0975010641368,1678.9792748022548,1694.8851626145165,2778505
2020-05-21,1730.6951904296875,1736.605602286918,1687.1931968352596,1691.408659684856,3400908
2020-05-22,1756.03125,1766.1571228346922,1704.6632171060728,1718.4395691128934,3663418
2020-05-26,1688.80078125,1759.2036959598558,1673.1556890922543,1751.381149880983,4575317
2020-05-27,1742.95068359375,1747.0357496229778,1687.280173609754,1702.70797687135,3482160
2020-05-28,1742.0811767578125,1750.5121012403388,1713.3985057841626,1728.3482191243363,3475681
2020-05-29,1714.3111572265625,1740.647107952109,1705.6629393550168,1722.6986871909753,7237735
2020-06-01,1777.6739501953125,1790.494236598139,1721.9165477724925,1729.6521994321827,3747773
2020-06-02,1779.3253173828125,1808.7467656570238,1773.1542179703627,1790.667947279619,2443886
2020-06-03,1783.6837158203125,1799.0260853811474,1760.8880399611958,1788.6526221564861,3699799
2020-06-04,1823.260498046875,1830.626548020547,1784.2070891243118,1784.2070891243118,4048593
2020-06-05,1785.5145263671875,1828.8829372968924,1778.5843404517511,1823.303970568174,3573289
2020-06-08,1805.999755859375,1826.2674012430991,1797.5876784963345,1811.665979299986,2957841
2020-06-09,1806.261474609375,1826.7034245551226,1795.9750562823629,1798.4595626765354,2909439
2020-06-10,1838.25390625,1858.5215545346769,1807.525536270006,1810.6202090029894,5168397
2020-06-11,1802.4256591796875,1834.984737151341,1797.3261855855103,1830.6261035714092,2269513
2020-06-12,1777.88671875,1786.3424257178842,1753.042506205565,1753.216808991971,2842642
2020-06-15,1769.5181884765625,1794.8854161548834,1744.281634683936,1777.5380321811451,2399022
2020-06-16,1783.3787841796875,1807.9178092155557,1770.4771845829816,1800.115896683337,2146528
2020-06-17,1785.1220703125,1794.7546934059535,1766.5978769881328,1783.5529196073005,2703527
2020-06-18,1776.6658935546875,1795.0593028218625,1765.4205995666443,1782.680828144751,1944389
2020-06-19,1782.33251953125,1821.9089358801286,1771.3487835925462,1780.0660512283362,5681758
2020-06-22,1767.8179931640625,1789.0009930345973,1760.1468625959747,1787.039608098879,3196138
2020-06-23,1774.225341796875,1781.8093212943568,1752.1706143843724,1766.9899678393645,4205944
2020-06-24,1780.2403564453125,1799.46197417324,1771.0000740211588,1773.0922395389948,2560937
2020-06-25,1757.4884033203125,1795.7572316261956,1751.5170959441425,1773.96406133947,3043931
2020-06-26,1847.0589599609375,1858.5220856315555,1760.845026324255,1765.2472905271575,6300722
2020-06-29,1832.064453125,1854.6859327209418,1823.0422088873268,1837.6000031597198,3076341
