Date,Close,High,Low,Open,Volume
2020-03-30,8281.099609375,8576.0,8244.0,8385.9501953125,593300
2020-03-31,8597.75,8678.2998046875,8358.0,8529.349609375,712700
2020-04-01,8253.7998046875,8588.099609375,8198.349609375,8584.099609375,506300
2020-04-03,8083.7998046875,8356.5498046875,8055.7998046875,8356.5498046875,697000
2020-04-07,8792.2001953125,8819.400390625,8360.9501953125,8446.2998046875,814200
2020-04-08,8748.75,9131.7001953125,8653.900390625,8688.900390625,896500
2020-04-09,9111.900390625,9128.349609375,8904.5498046875,8973.0498046875,742100
2020-04-13,8993.849609375,9112.0498046875,8912.400390625,9103.9501953125,644000
2020-04-15,8925.2998046875,9261.2001953125,8874.099609375,9196.400390625,879100
2020-04-16,8992.7998046875,9053.75,8821.900390625,8851.25,719400
2020-04-17,9266.75,9324.0,9091.349609375,9323.4501953125,684200
2020-04-20,9261.849609375,9390.849609375,9230.7998046875,9390.2001953125,726400
2020-04-21,8981.4501953125,9044.400390625,8909.400390625,9016.9501953125,655100
2020-04-22,9187.2998046875,9209.75,8946.25,9026.75,734400
2020-04-23,9313.900390625,9343.599609375,9170.150390625,9232.349609375,666700
2020-04-24,9154.400390625,9296.900390625,9141.2998046875,9163.900390625,659400
2020-04-27,9282.2998046875,9377.099609375,9250.349609375,9259.7001953125,512800
2020-04-28,9380.900390625,9404.400390625,9260.0,9389.7998046875,614500
2020-04-29,9553.349609375,9599.849609375,9392.349609375,9408.599609375,653000
2020-04-30,9859.900390625,9889.0498046875,9731.5,9753.5,931200
2020-05-04,9293.5,9533.5,9266.9501953125,9533.5,687500
2020-05-05,9205.599609375,9450.900390625,9190.75,9429.400390625,725200
2020-05-06,9270.900390625,9346.900390625,9116.5,9226.7998046875,722200
2020-05-07,9199.0498046875,9277.849609375,9175.900390625,9234.0498046875,708700
2020-05-08,9251.5,9382.650390625,9238.2001953125,9376.9501953125,609100
2020-05-11,9239.2001953125,9439.900390625,9219.9501953125,9348.150390625,704600
2020-05-12,9196.5498046875,9240.849609375,9043.9501953125,9168.849609375,805500
2020-05-13,9383.5498046875,9584.5,9351.099609375,9584.2001953125,846400
2020-05-14,9142.75,9281.099609375,9119.75,9213.9501953125,602600
2020-05-15,9136.849609375,9182.400390625,9050.0,9182.400390625,575900
2020-05-18,8823.25,9158.2998046875,8806.75,9158.2998046875,773000
2020-05-19,8879.099609375,9030.349609375,8855.2998046875,8961.7001953125,762200
2020-05-20,9066.5498046875,9093.7998046875,8875.349609375,8889.150390625,622300
2020-05-21,9106.25,9178.5498046875,9056.099609375,9079.4501953125,631500
2020-05-22,9039.25,9149.599609375,8968.5498046875,9067.900390625,675800
2020-05-26,9029.0498046875,9161.650390625,8996.650390625,9099.75,655000
2020-05-27,9314.9501953125,9334.0,9004.25,9082.2001953125,763500
2020-05-28,9490.099609375,9511.25,9336.5,9364.9501953125,837900
2020-05-29,9580.2998046875,9598.849609375,9376.900390625,9422.2001953125,967000
2020-06-01,9826.150390625,9931.599609375,9706.9501953125,9726.849609375,794200
2020-06-02,9979.099609375,9995.599609375,9824.0498046875,9880.849609375,770200
2020-06-03,10061.5498046875,10176.2001953125,10035.5498046875,10108.2998046875,794700
2020-06-04,10029.099609375,10123.849609375,9944.25,10054.25,775100
2020-06-05,10142.150390625,10177.7998046875,10040.75,10093.7998046875,987100
2020-06-08,10167.4501953125,10328.5,10120.25,10326.75,936500
2020-06-09,10046.650390625,10291.150390625,10021.4501953125,10181.150390625,754200
2020-06-10,10116.150390625,10148.75,10036.849609375,10072.599609375,632400
2020-06-11,9902.0,10112.0498046875,9885.0498046875,10094.099609375,715500
2020-06-12,9972.900390625,9996.0498046875,9544.349609375,9544.9501953125,796300
2020-06-15,9813.7001953125,9943.349609375,9726.349609375,9919.349609375,716100
2020-06-16,9914.0,10046.150390625,9728.5,10014.7998046875,899900
2020-06-17,9881.150390625,10003.599609375,9833.7998046875,9876.7001953125,685400
2020-06-18,10091.650390625,10111.2001953125,9845.0498046875,9863.25,622900
2020-06-19,10244.400390625,10272.400390625,10072.650390625,10119.0,892100
2020-06-22,10311.2001953125,10393.650390625,10277.599609375,10318.75,685400
2020-06-23,10471.0,10484.7001953125,10301.75,10347.9501953125,669200
2020-06-24,10305.2998046875,10553.150390625,10281.9501953125,10529.25,854800
2020-06-25,10288.900390625,10361.7998046875,10194.5,10235.5498046875,994200
2020-06-26,10383.0,10409.849609375,10311.25,10378.900390625,671900
2020-06-29,10312.400390625,10337.9501953125,10223.599609375,10311.9501953125,574500
